temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,pressure_msl,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,hour_sin,hour_cos,day_of_year_sin,day_of_year_cos
27.048,78.07528,22.898,2.4,1013.9,100.0,13.207634,252.55272,32.760002,28.248,-1.0,-1.8369701987210297e-16,-0.989932495087353,0.141540295217043
25.698,87.14498,23.398,0.3,1013.4,100.0,12.413476,253.14151,25.199999,28.498,-0.9659258262890684,0.2588190451025203,-0.989932495087353,0.141540295217043
25.448,88.71522,23.448,0.2,1013.1,100.0,11.503113,249.86362,21.96,27.448,-0.8660254037844386,0.5000000000000001,-0.989932495087353,0.141540295217043
25.448,88.448044,23.398,0.1,1012.8,61.5,12.074766,243.43501,21.24,26.848,-0.7071067811865477,0.7071067811865474,-0.989932495087353,0.141540295217043
25.598,86.87325,23.248,0.1,1012.3,64.5,9.693296,238.67136,18.72,26.548,-0.5000000000000004,0.8660254037844384,-0.989932495087353,0.141540295217043
25.348,88.70729,23.348,1.1,1013.0,63.0,7.7879906,236.3099,14.4,25.948,-0.25881904510252157,0.9659258262890681,-0.989932495087353,0.141540295217043
24.898,91.668724,23.448,0.6,1013.6,53.1,7.4128532,240.94548,6.12,25.398,0.0,1.0,-0.9873494423939864,0.15855938510313475
24.598,93.60812,23.498,0.0,1014.1,46.800003,6.989936,235.49141,10.440001,25.048,0.25881904510252074,0.9659258262890683,-0.9873494423939864,0.15855938510313475
24.298,95.30456,23.498,0.0,1014.4,48.0,6.638072,229.39879,11.159999,24.798,0.49999999999999994,0.8660254037844387,-0.9873494423939864,0.15855938510313475
23.998,96.161514,23.348,0.0,1014.5,35.7,5.3999996,216.86998,8.64,24.548,0.7071067811865476,0.7071067811865476,-0.9873494423939864,0.15855938510313475
23.698,97.02909,23.198,0.0,1014.6,35.4,5.315336,208.30066,8.64,24.348,0.8660254037844386,0.5000000000000001,-0.9873494423939864,0.15855938510313475
23.448,97.0236,22.948,0.0,1014.2,41.1,4.8965297,216.02747,8.64,24.048,0.9659258262890683,0.25881904510252074,-0.9873494423939864,0.15855938510313475
23.048,97.60548,22.648,0.0,1014.1,56.7,3.671294,258.6901,8.64,23.748,1.0,6.123233995736766e-17,-0.9873494423939864,0.15855938510313475
22.598,96.41525,21.998,0.3,1013.7,82.8,5.815978,291.80148,7.5599995,23.498,0.9659258262890683,-0.25881904510252063,-0.9873494423939864,0.15855938510313475
22.598,96.70964,22.048,0.1,1013.4,100.0,9.1641035,315.0001,11.5199995,23.448,0.8660254037844387,-0.4999999999999998,-0.9873494423939864,0.15855938510313475
22.848,94.38691,21.898,0.0,1013.2,100.0,9.028754,336.5014,12.599999,23.448,0.7071067811865476,-0.7071067811865475,-0.9873494423939864,0.15855938510313475
22.848,94.96443,21.998,0.0,1013.2,100.0,9.178235,11.3098955,14.04,23.498,0.49999999999999994,-0.8660254037844387,-0.9873494423939864,0.15855938510313475
22.848,93.52633,21.748,0.0,1013.7,100.0,8.854829,26.564985,15.119999,23.498,0.258819045102521,-0.9659258262890682,-0.9873494423939864,0.15855938510313475
22.798,92.10446,21.448,0.0,1014.4,100.0,10.009036,37.694313,15.84,23.498,1.2246467991473532e-16,-1.0,-0.9873494423939864,0.15855938510313475
23.148,88.53036,21.148,0.0,1014.7,100.0,9.673221,44.999897,18.0,23.898,-0.2588190451025208,-0.9659258262890683,-0.9873494423939864,0.15855938510313475
23.948,82.822,20.848,0.0,1015.3,48.6,8.942214,49.899166,19.08,24.848,-0.4999999999999997,-0.8660254037844388,-0.9873494423939864,0.15855938510313475
24.998,77.77682,20.848,0.0,1015.1,36.0,7.7043357,52.594578,15.84,26.248,-0.7071067811865471,-0.7071067811865479,-0.9873494423939864,0.15855938510313475
25.898,74.63843,21.048,0.0,1014.9,28.2,5.3999996,36.86998,16.56,27.648,-0.8660254037844385,-0.5000000000000004,-0.9873494423939864,0.15855938510313475
26.598,72.056145,21.148,0.0,1014.5,21.0,4.6938252,355.60138,10.799999,28.698,-0.9659258262890683,-0.25881904510252063,-0.9873494423939864,0.15855938510313475
27.098,70.614975,21.298,0.0,1013.9,16.800001,7.10031,329.53452,20.519999,29.498,-1.0,-1.8369701987210297e-16,-0.9873494423939864,0.15855938510313475
27.748,67.14865,21.098,0.0,1013.7,17.1,8.0899935,327.72437,19.08,30.148,-0.9659258262890684,0.2588190451025203,-0.9873494423939864,0.15855938510313475
27.748,66.12488,20.848,0.0,1012.9,9.6,8.287822,325.6196,19.08,29.948,-0.8660254037844386,0.5000000000000001,-0.9873494423939864,0.15855938510313475
27.648,65.698555,20.648,0.0,1012.6,2.4,9.686609,318.01288,18.0,29.498,-0.7071067811865477,0.7071067811865474,-0.9873494423939864,0.15855938510313475
26.948,67.40304,20.398,0.0,1012.8,6.6,10.703569,317.72638,18.0,28.398,-0.5000000000000004,0.8660254037844384,-0.9873494423939864,0.15855938510313475
26.048,71.076385,20.398,0.0,1013.3,3.0,9.449572,319.63553,15.84,26.848,-0.25881904510252157,0.9659258262890681,-0.9873494423939864,0.15855938510313475
24.948,73.56553,19.898,0.0,1014.0,7.5,9.504273,335.37646,15.4800005,25.548,0.0,1.0,-0.9844738167520923,0.17553149042142777
24.248,74.135086,19.348,0.0,1014.4,10.8,7.5170207,343.3007,13.32,24.748,0.25881904510252074,0.9659258262890683,-0.9844738167520923,0.17553149042142777
23.648,74.964836,18.948,0.0,1014.7,0.0,6.28713,346.75946,11.5199995,24.098,0.49999999999999994,0.8660254037844387,-0.9844738167520923,0.17553149042142777
23.148,75.82636,18.648,0.0,1015.0,0.0,5.7599998,360.0,10.799999,23.648,0.7071067811865476,0.7071067811865476,-0.9844738167520923,0.17553149042142777
22.648,76.943954,18.398,0.0,1015.0,3.6,4.6800003,22.61991,10.440001,23.198,0.8660254037844386,0.5000000000000001,-0.9844738167520923,0.17553149042142777
22.198,77.84721,18.148,0.0,1014.1,15.299999,4.5536795,18.435053,10.08,22.798,0.9659258262890683,0.25881904510252074,-0.9844738167520923,0.17553149042142777
21.848,78.53301,17.948,0.0,1014.1,9.9,3.96,360.0,10.08,22.448,1.0,6.123233995736766e-17,-0.9844738167520923,0.17553149042142777
21.398,79.96585,17.798,0.0,1013.4,8.099999,5.0911684,351.87,9.36,22.298,0.9659258262890683,-0.25881904510252063,-0.9844738167520923,0.17553149042142777
21.248,78.94314,17.448,0.0,1013.4,9.0,6.519877,353.6599,10.440001,22.098,0.8660254037844387,-0.4999999999999998,-0.9844738167520923,0.17553149042142777
21.048,77.43021,16.948,0.0,1013.7,14.4,7.9526596,354.80566,11.5199995,21.898,0.7071067811865476,-0.7071067811865475,-0.9844738167520923,0.17553149042142777
20.698,77.131744,16.548,0.0,1013.8,14.4,7.5685663,2.7262611,11.5199995,21.598,0.49999999999999994,-0.8660254037844387,-0.9844738167520923,0.17553149042142777
20.448,76.848236,16.248,0.0,1014.2,5.3999996,6.28713,13.240531,10.08,21.348,0.258819045102521,-0.9659258262890682,-0.9844738167520923,0.17553149042142777
20.198,78.292946,16.298,0.0,1014.4,0.0,7.8954163,24.227736,11.159999,21.098,1.2246467991473532e-16,-1.0,-0.9844738167520923,0.17553149042142777
21.498,72.73747,16.398,0.0,1014.8,0.6,7.754637,21.801476,16.199999,22.398,-0.2588190451025208,-0.9659258262890683,-0.9844738167520923,0.17553149042142777
23.248,65.81202,16.498,0.0,1015.5,7.5000005,6.830519,18.435053,16.919998,24.598,-0.4999999999999997,-0.8660254037844388,-0.9844738167520923,0.17553149042142777
24.798,60.728825,16.698,0.0,1015.2,8.700001,6.519877,6.3401003,16.56,26.698,-0.7071067811865471,-0.7071067811865479,-0.9844738167520923,0.17553149042142777
25.948,57.43952,16.898,0.0,1015.5,0.0,6.5693827,350.53775,15.84,28.698,-0.8660254037844385,-0.5000000000000004,-0.9844738167520923,0.17553149042142777
26.848,53.78199,16.698,0.0,1014.4,0.0,6.830519,341.56494,15.84,30.198,-0.9659258262890683,-0.25881904510252063,-0.9844738167520923,0.17553149042142777
27.198,49.75141,15.798,0.0,1013.8,0.0,7.9036193,329.9315,16.56,30.598,-1.0,-1.8369701987210297e-16,-0.9844738167520923,0.17553149042142777
27.698,45.02123,14.698,0.0,1013.3,0.90000004,7.653705,318.81415,17.64,30.348,-0.9659258262890684,0.2588190451025203,-0.9844738167520923,0.17553149042142777
27.448,43.52143,13.948,0.0,1012.7,5.1000004,6.792466,302.00534,15.84,29.748,-0.8660254037844386,0.5000000000000001,-0.9844738167520923,0.17553149042142777
27.098,44.42364,13.948,0.0,1012.7,10.5,9.360001,292.6199,18.359999,28.898,-0.7071067811865477,0.7071067811865474,-0.9844738167520923,0.17553149042142777
26.298,50.804005,15.298,0.0,1012.4,3.6000001,11.113451,294.90472,18.72,27.598,-0.5000000000000004,0.8660254037844384,-0.9844738167520923,0.17553149042142777
24.848,58.65221,16.198,0.0,1012.8,4.5,10.00256,300.25635,15.4800005,25.798,-0.25881904510252157,0.9659258262890681,-0.9844738167520923,0.17553149042142777
23.498,65.23989,16.598,0.0,1013.7,6.9,10.703569,312.27362,13.679999,24.248,0.0,1.0,-0.9813064702716093,0.19245158197082995
22.248,71.72487,16.898,0.0,1014.1,5.1000004,8.435069,320.1945,12.24,23.098,0.25881904510252074,0.9659258262890683,-0.9813064702716093,0.19245158197082995
21.198,76.477776,16.898,0.0,1014.4,4.8,6.792466,327.99466,12.959999,22.048,0.49999999999999994,0.8660254037844387,-0.9813064702716093,0.19245158197082995
20.698,78.366104,16.798,0.0,1014.6,11.400001,7.729527,332.24155,13.32,21.398,0.7071067811865476,0.7071067811865476,-0.9813064702716093,0.19245158197082995
20.248,79.80842,16.648,0.0,1014.4,18.0,9.693296,338.19852,13.679999,20.998,0.8660254037844386,0.5000000000000001,-0.9813064702716093,0.19245158197082995
19.598,83.0875,16.648,0.0,1014.6,20.1,9.605998,347.00537,13.32,20.598,0.9659258262890683,0.25881904510252074,-0.9813064702716093,0.19245158197082995
18.748,86.22461,16.398,0.0,1014.0,21.300001,7.5942073,354.55975,13.32,20.148,1.0,6.123233995736766e-17,-0.9813064702716093,0.19245158197082995
17.898,88.65573,15.997999,0.0,1013.9,14.700001,5.7599998,360.0,12.959999,19.648,0.9659258262890683,-0.25881904510252063,-0.9813064702716093,0.19245158197082995
17.648,88.63519,15.748,0.0,1013.4,4.8,6.12,360.0,11.879999,19.148,0.8660254037844387,-0.4999999999999998,-0.9813064702716093,0.19245158197082995
17.398,89.47002,15.648,0.0,1013.7,0.0,6.162207,353.29025,11.879999,18.698,0.7071067811865476,-0.7071067811865475,-0.9813064702716093,0.19245158197082995
17.148,90.31502,15.548,0.0,1013.5,0.0,6.924738,351.02744,13.32,18.348,0.49999999999999994,-0.8660254037844387,-0.9813064702716093,0.19245158197082995
16.698,91.74425,15.348,0.0,1014.1,0.3,6.519877,353.6599,13.32,17.998,0.258819045102521,-0.9659258262890682,-0.9813064702716093,0.19245158197082995
16.798,92.04487,15.498,0.0,1014.2,0.0,6.8399997,360.0,10.799999,17.998,1.2246467991473532e-16,-1.0,-0.9813064702716093,0.19245158197082995
20.248,85.28982,17.698,0.0,1014.4,0.0,8.647496,2.385899,15.4800005,20.548,-0.2588190451025208,-0.9659258262890683,-0.9813064702716093,0.19245158197082995
22.748,71.13793,17.248,0.0,1015.4,0.0,9.36,360.0,19.08,24.048,-0.4999999999999997,-0.8660254037844388,-0.9813064702716093,0.19245158197082995
24.098,61.7374,16.298,0.0,1015.2,0.0,10.853866,354.2895,23.039999,25.748,-0.7071067811865471,-0.7071067811865479,-0.9813064702716093,0.19245158197082995
25.098,55.968285,15.698,0.0,1015.0,0.0,11.440978,347.27563,25.199999,27.298,-0.8660254037844385,-0.5000000000000004,-0.9813064702716093,0.19245158197082995
25.848,52.51022,15.398,0.0,1014.5,0.0,10.587917,342.18103,25.56,28.648,-0.9659258262890683,-0.25881904510252063,-0.9813064702716093,0.19245158197082995
26.348,50.330063,15.198,0.0,1013.5,0.0,9.826088,331.55716,24.119999,29.498,-1.0,-1.8369701987210297e-16,-0.9813064702716093,0.19245158197082995
27.298,47.74789,15.248,0.0,1012.8,0.0,10.514218,321.9529,21.599998,29.898,-0.9659258262890684,0.2588190451025203,-0.9813064702716093,0.19245158197082995
27.148,49.10556,15.548,0.0,1012.4,0.0,11.480557,318.81418,22.319998,29.648,-0.8660254037844386,0.5000000000000001,-0.9813064702716093,0.19245158197082995
26.698,52.22597,16.098,0.0,1012.2,0.0,12.475961,313.83093,21.96,28.748,-0.7071067811865477,0.7071067811865474,-0.9813064702716093,0.19245158197082995
25.798,58.50556,17.048,0.0,1012.0,0.0,11.525623,308.65982,17.64,27.298,-0.5000000000000004,0.8660254037844384,-0.9813064702716093,0.19245158197082995
24.448,65.64707,17.598,0.0,1012.5,0.0,9.0,306.86996,13.679999,25.448,-0.25881904510252157,0.9659258262890681,-0.9813064702716093,0.19245158197082995
23.148,72.56931,17.948,0.0,1013.3,0.0,8.161764,311.42358,13.32,23.798,0.0,1.0,-0.9778483415056567,0.20931464596304888
